,Obsid,Heh,logg,teff,lamo,Ra,dec,sn
0,4509015,-2.858857632,5.679949284,37746.30078,LAMOST J022049.05+584509.0,35.2044,58.7525,16.44
1,32510100,-1.74120903,5.811975479,26663.74219,LAMOST J101722.05+452055.1,154.341906,45.348666,11.75
2,52806006,-2.267579079,5.46385479,34165.83984,LAMOST J194458.54+392222.1,296.243917,39.372806,10.17
3,58309212,-3.242325544,5.378180027,27922.32617,LAMOST J032251.46+034652.5,50.714452,3.781258,9.54
4,83904022,-2.865744114,5.811511993,30609.48438,LAMOST J020401.88+414748.8,31.007836,41.796898,26.96
5,99207013,-3.203997135,5.3936553,30635.23242,LAMOST J075702.65+261451.1,119.26105,26.247545,29.49
6,101115103,-2.774373531,6.11228466,25457.60352,LAMOST J062826.93+033720.8,97.112216,3.622458,20.94
7,142703046,-1.96043539,5.645526886,30294.01563,LAMOST J133014.18+134633.5,202.559117,13.775989,5.96
8,162404188,-3.002485752,5.484487057,40484.45313,LAMOST J030939.41+214533.5,47.414249,21.759315,40.19
9,171707230,-3.330596447,5.684258461,27529.22656,LAMOST J055940.69+201931.8,89.919564,20.325525,11.04
10,181914206,-1.417613745,5.3764081,27779.75391,LAMOST J034110.28+352832.9,55.292868,35.475821,13.08
11,195107200,-3.323188066,5.37669611,29280.04492,LAMOST J054842.40+211751.0,87.176683,21.297523,11.3
12,206312160,-2.836685658,5.621074677,32043.9707,LAMOST J025731.08+524558.9,44.379517,52.766386,16.67
13,206510048,-3.278480053,5.522655487,37546.875,LAMOST J123028.50+032654.8,187.618782,3.448578,11.7
15,208816099,-2.709232092,5.777042389,31168.9082,LAMOST J052142.56+082530.7,80.427374,8.425216,14.88
16,212705156,-3.13596344,5.889917374,31664.66797,LAMOST J104944.45+270143.2,162.435231,27.028673,11.69
17,212803144,-4.946084976,5.492877483,27613.9707,LAMOST J132709.00-005401.9,201.787517,-0.900548,10.39
18,228202103,-3.047781944,5.650712013,26115.99414,LAMOST J113602.07+191618.7,174.008657,19.271864,18.27
14,244016127,-2.808815956,5.462549686,26068.96094,LAMOST J025416.07+571414.2,43.566986,57.237281,28.78
19,259905095,-1.310373545,5.680440903,42707.43359,LAMOST J213441.07+133524.5,323.671163,13.590147,15.04
20,259908222,-3.07292366,5.214064598,27442.80273,LAMOST J213928.57+134559.9,324.869062,13.766639,8.28
21,269305132,-1.84,5.597247601,31380.875,LAMOST J054423.57+321905.2,86.098231,32.318131,5.11
22,269511194,-2.711711407,5.557129383,28106.37695,LAMOST J000324.47+584628.0,0.851989,58.774456,35.49
23,269512168,-3.284068108,5.580154419,29402.63867,LAMOST J001708.17+580702.1,4.284975,58.117315,61.91
24,274311060,-1.558278322,5.849007607,53150.71875,LAMOST J063021.44+220656.0,97.589356,22.115558,5.91
25,280705107,-1.898324013,5.561664581,32995.89063,LAMOST J093213.30+121142.3,143.055448,12.195084,18.96
26,282006094,-3.064042807,5.452436447,35639.38672,LAMOST J012632.94+312538.1,21.637257,31.427251,5.31
27,282604062,-1.743146181,5.708958626,25572.93359,LAMOST J001920.59+463306.8,4.835808,46.551897,68.78
28,309816048,-2.984821081,5.448440075,29572.51172,LAMOST J043546.54+354014.1,68.942704,35.670592,211.64
29,320411052,-2.998453379,5.613509178,34125.41016,LAMOST J144445.88+281016.5,221.191169,28.171261,5.79
30,331909001,-0.25901103,5.589974403,26458.10938,LAMOST J104039.66+135949.1,160.165267,13.996983,15.57
31,336711173,-2.829485178,5.42140913,32013.18359,LAMOST J125827.89+401144.0,194.616237,40.195564,12.54
32,351002036,-1.940238237,5.573884964,32995.03516,LAMOST J185724.28+472702.2,284.351177,47.450632,20.23
33,368509218,-2.786448479,5.367067814,32507.89258,LAMOST J011951.71+030438.4,19.965473,3.077354,5.49
34,379603081,-1.863811016,5.491029739,34007.19531,LAMOST J021511.09+230717.6,33.796241,23.12158,6.14
35,380405022,-3.250614405,5.554320335,34125.60938,LAMOST J225846.48+082549.0,344.69368,8.430286,16.96
36,380515137,-3.015081406,5.506627083,24649.8457,LAMOST J053827.66+364808.9,84.615278,36.802478,6.92
37,380812078,-3.207201004,5.646653175,48746.13672,LAMOST J021114.76+560732.6,32.811541,56.125749,52.86
38,393110154,-2.995733023,5.532925606,32317.25,LAMOST J031943.94+484512.7,49.933123,48.753553,11.66
39,396305033,-3.521104813,5.563164711,40901.07813,LAMOST J070200.97+075308.8,105.503623,7.885703,30.04
40,400804210,-1.658703089,5.307870388,30386.8457,LAMOST J061724.73+125126.0,94.353065,12.857232,6.37
41,431613050,-3.405468941,5.615168571,34561.375,LAMOST J063707.46+204532.6,99.281101,20.759071,9.51
42,432001188,-2.960744858,5.54883337,40468.96484,LAMOST J094053.23+082453.8,145.221825,8.414965,34.37
43,433603200,-1.73729229,5.608131886,41288.38672,LAMOST J125815.99+104114.1,194.566666,10.687275,11.07
44,433815103,-1.27494669,5.71542263,31005.25586,LAMOST J152814.38+524427.4,232.058309,52.740969,24.73
45,437316197,-2.927814245,5.650945663,38475.60547,LAMOST J060950.17+203703.6,92.4589,20.61813,116.32
46,441716051,-1.702957153,5.84625721,30452.59961,LAMOST J073253.21+154324.4,113.22172,15.723451,12.07
47,448004173,-2.454254627,5.60522747,36038.52734,LAMOST J174549.02+150718.1,266.45426,15.121716,20.73
